iter	Passed	Remaining
412	3371	8872
413	3380	8866
414	3387	8857
415	3397	8852
416	3406	8847
417	3415	8841
418	3423	8831
419	3431	8825
420	3439	8815
421	3449	8812
422	3458	8806
423	3469	8804
424	3477	8795
425	3485	8788
426	3494	8781
427	3503	8773
428	3510	8764
429	3519	8757
430	3527	8749
431	3536	8743
432	3545	8735
433	3570	8769
434	3579	8762
435	3586	8753
436	3595	8745
437	3607	8747
438	3626	8764
439	3634	8756
440	3643	8749
441	3654	8747
442	3661	8736
443	3670	8729
444	3676	8716
445	3682	8702
446	3687	8687
447	3695	8678
448	3703	8668
449	3709	8655
450	3715	8642
451	3721	8629
452	3728	8617
453	3734	8603
454	3740	8590
455	3748	8581
456	3756	8573
457	3768	8574
458	3776	8565
459	3787	8563
460	3801	8568
461	3809	8558
462	3819	8555
463	3827	8546
464	3838	8544
465	3850	8543
466	3858	8536
467	3867	8528
468	3875	8519
469	3884	8512
470	3895	8509
471	3905	8505
472	3913	8496
473	3920	8487
474	3929	8478
475	3937	8471
476	3951	8475
477	3965	8479
478	3976	8476
479	3987	8474
480	4003	8481
481	4014	8478
482	4024	8474
483	4036	8472
484	4052	8480
485	4073	8498
486	4086	8499
487	4097	8496
488	4107	8492
489	4118	8488
490	4129	8485
491	4138	8478
492	4147	8472
493	4155	8462
494	4163	8453
495	4171	8443
496	4179	8435
497	4191	8433
498	4198	8422
499	4206	8413
500	4214	8404
501	4226	8403
502	4237	8399
503	4246	8392
504	4255	8383
505	4263	8375
506	4270	8364
507	4279	8356
508	4291	8355
509	4299	8345
510	4306	8334
511	4315	8326
512	4322	8316
513	4337	8321
514	4345	8312
515	4353	8302
516	4362	8293
517	4370	8284
518	4380	8279
519	4391	8275
520	4398	8264
521	4405	8254
522	4412	8243
523	4420	8234
524	4435	8236
525	4443	8228
526	4451	8219
527	4459	8209
528	4467	8200
529	4478	8195
530	4486	8186
531	4494	8177
532	4501	8167
533	4509	8157
534	4517	8147
535	4524	8138
536	4532	8129
537	4554	8143
538	4564	8138
539	4580	8143
540	4592	8141
541	4602	8135
542	4613	8130
543	4622	8123
544	4633	8119
545	4642	8110
546	4650	8102
547	4658	8093
548	4667	8084
549	4679	8082
550	4687	8073
551	4695	8063
552	4702	8052
553	4708	8040
554	4716	8031
555	4726	8024
556	4733	8013
557	4739	8001
558	4745	7989
559	4753	7978
560	4759	7966
561	4766	7955
562	4773	7945
563	4780	7934
564	4787	7922
565	4793	7910
566	4799	7897
567	4806	7887
568	4813	7875
569	4820	7865
570	4827	7855
571	4834	7844
572	4841	7832
573	4849	7822
574	4855	7810
575	4863	7801
576	4874	7797
577	4880	7785
578	4886	7772
579	4892	7760
580	4898	7748
581	4905	7737
582	4917	7733
583	4924	7723
584	4930	7711
585	4937	7700
586	4944	7689
587	4950	7678
588	4957	7667
589	4969	7665
590	4976	7653
591	4981	7641
592	4988	7630
593	4995	7619
594	5002	7608
595	5009	7598
596	5017	7588
597	5025	7580
598	5040	7581
599	5050	7575
600	5061	7570
601	5068	7560
602	5077	7553
603	5087	7546
604	5094	7536
605	5106	7533
606	5114	7524
607	5121	7514
608	5128	7503
609	5134	7492
610	5142	7481
611	5147	7469
612	5153	7457
613	5159	7445
614	5167	7435
615	5173	7424
616	5181	7415
617	5188	7405
618	5195	7395
619	5203	7385
620	5209	7374
621	5216	7363
622	5223	7353
623	5229	7340
624	5234	7328
625	5241	7317
626	5247	7306
627	5253	7294
628	5260	7283
629	5266	7272
630	5272	7260
631	5279	7250
632	5285	7238
633	5291	7227
634	5297	7216
635	5304	7206
636	5310	7194
637	5316	7183
638	5323	7172
639	5329	7161
640	5335	7150
641	5342	7139
642	5349	7129
643	5354	7117
644	5362	7108
645	5368	7097
646	5375	7086
647	5382	7076
648	5388	7065
649	5394	7054
650	5401	7043
651	5407	7033
652	5413	7021
653	5423	7016
654	5429	7005
655	5437	6995
656	5444	6985
657	5449	6973
658	5456	6963
659	5461	6951
660	5468	6940
661	5474	6930
662	5480	6919
663	5487	6908
664	5492	6897
665	5500	6887
666	5507	6878
667	5520	6875
668	5527	6866
669	5536	6858
670	5547	6853
671	5559	6850
672	5570	6845
673	5580	6838
674	5590	6832
675	5598	6823
676	5605	6814
677	5612	6804
678	5620	6796
679	5626	6784
680	5633	6774
681	5640	6765
682	5647	6755
683	5652	6743
684	5658	6732
685	5665	6722
686	5671	6711
687	5678	6701
688	5683	6690
689	5689	6678
690	5695	6668
691	5701	6657
692	5707	6646
693	5714	6636
694	5720	6625
695	5727	6615
696	5732	6604
697	5739	6594
698	5745	6583
699	5751	6573
700	5757	6562
701	5763	6552
702	5771	6543
703	5779	6534
704	5785	6524
705	5791	6513
706	5799	6504
707	5806	6495
708	5812	6484
709	5819	6475
710	5826	6465
711	5832	6454
712	5838	6444
713	5844	6433
714	5851	6424
715	5857	6414
716	5864	6404
717	5873	6396
718	5878	6385
719	5885	6375
720	5892	6366
721	5898	6356
722	5905	6346
723	5911	6335
724	5917	6325
725	5923	6315
726	5930	6305
727	5936	6295
728	5943	6285
729	5951	6277
730	5958	6267
731	5972	6266
732	5980	6257
733	5986	6247
734	5992	6236
735	6002	6231
736	6011	6223
737	6019	6215
738	6026	6206
739	6035	6199
740	6044	6191
741	6054	6185
742	6070	6184
743	6083	6181
744	6094	6175
745	6100	6166
746	6108	6157
747	6118	6151
748	6124	6141
749	6133	6133
750	6140	6123
751	6147	6114
752	6152	6103
753	6158	6092
754	6165	6083
755	6171	6073
756	6176	6062
757	6182	6051
758	6190	6043
759	6198	6035
760	6207	6027
761	6215	6019
762	6223	6011
763	6230	6002
764	6237	5992
765	6242	5981
766	6249	5972
767	6258	5964
768	6265	5955
769	6271	5945
770	6277	5935
771	6285	5927
772	6292	5918
773	6299	5908
774	6305	5899
775	6312	5889
776	6320	5880
777	6325	5870
778	6332	5860
779	6338	5850
780	6344	5840
781	6350	5830
782	6357	5821
783	6364	5812
784	6372	5804
785	6378	5794
786	6384	5784
787	6392	5776
788	6399	5766
789	6405	5756
790	6412	5747
791	6418	5737
792	6424	5727
793	6431	5718
794	6436	5707
795	6442	5697
796	6447	5687
797	6454	5677
798	6460	5668
799	6467	5659
800	6474	5649
801	6481	5641
802	6500	5642
803	6511	5636
804	6519	5628
805	6529	5621
806	6536	5613
807	6544	5604
808	6550	5594
809	6557	5585
810	6563	5575
811	6571	5567
812	6577	5557
813	6584	5548
814	6590	5539
815	6596	5529
816	6603	5520
817	6611	5511
818	6618	5503
819	6624	5493
820	6630	5483
